anime_id,mal_id,title,title_english,title_japanese,type,source,genres,tags
26,26,Texhnolyze,None,TEXHNOLYZE テクノライズ,TV,ORIGINAL,"Action, Drama, Psychological, Sci-Fi","Dystopian, Cyberpunk, Survival, Philosophy, Male Protagonist, Post-Apocalyptic, Tragedy, Gangs, Seinen"
27,27,Trinity Blood,Trinity Blood,トリニティ・ブラッド,TV,LIGHT_NOVEL,"Action, Supernatural, Drama, Horror, Sci-Fi",Vampire
28,28,Yakitate!! Japan,None,焼きたて!! ジャぱん,TV,MANGA,Comedy,"Shounen, Food, Parody, Male Protagonist"
29,29,Zipang,None,ジパング,TV,MANGA,"Action, Sci-Fi","Ships, Military, Seinen, Historical"
30,30,Shin Seiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,ORIGINAL,"Action, Drama, Mecha, Psychological, Sci-Fi","Philosophy, Coming of Age, Male Protagonist, Post-Apocalyptic, Robots, Kaiju, Tragedy, Conspiracy, Military, Super Robot, Tsundere, Real Robot, Mythology, Age Gap, Trains, Boys' Love, Tokusatsu, School"
31,31,Shin Seiki Evangelion Gekijouban: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,MOVIE,None,"Drama, Mecha, Psychological, Sci-Fi","Post-Apocalyptic, Tragedy"
32,32,Shin Seiki Evangelion Movie: THE END OF EVANGELION,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,MOVIE,ORIGINAL,"Drama, Mecha, Psychological, Sci-Fi, Action","Post-Apocalyptic, Tragedy, Coming of Age, Philosophy, Age Gap, Space, Mythology, Kaiju, Male Protagonist, Meta, Nudity"
33,33,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,MANGA,"Action, Adventure, Drama, Fantasy, Horror","Tragedy, Seinen, War, Swordplay, Military, Anti-Hero, Male Protagonist, Gore, Demons, Rape, Revenge, Fugitive"
43,43,Koukaku Kidoutai,Ghost in the Shell,攻殻機動隊,MOVIE,MANGA,"Mecha, Psychological, Sci-Fi, Action","Cyberpunk, Robots, Philosophy, Police, Artificial Intelligence, Primarily Adult Cast, Female Protagonist, Guns, Espionage, Nudity"
44,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,None,"Action, Romance, Drama","Samurai, Historical, Swordplay, Tragedy"
45,45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,MANGA,"Action, Adventure, Comedy, Romance","Swordplay, Martial Arts, Samurai, Historical, Shounen, Male Protagonist"
46,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,Samurai X: The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,MOVIE,None,Drama,"Swordplay, Shounen, Historical"
47,47,Akira,None,アキラ,MOVIE,MANGA,"Action, Adventure, Horror, Sci-Fi, Supernatural, Psychological","Cyberpunk, Post-Apocalyptic, Super Power, Dystopian, Gangs, Military, Motorcycles, Gore, Seinen, Male Protagonist"
48,48,.hack//Sign,.hack//Sign,.hack//SIGN,TV,ORIGINAL,"Adventure, Fantasy, Mystery, Sci-Fi","Virtual World, Isekai, Video Games, Super Power, Magic"
49,49,Aa! Megami-sama!,Oh! My Goddess,ああっ女神さまっ,OVA,None,"Comedy, Romance, Supernatural","Magic, Seinen, Primarily Female Cast, Male Protagonist, Gods, Urban Fantasy"
50,50,Aa! Megami-sama! (TV),Oh! My Goddess,ああっ女神さまっ,TV,MANGA,"Comedy, Romance, Supernatural","Magic, Primarily Female Cast, Gods, Male Protagonist, Seinen"
51,51,Tenshi Kinryouku,Angel Sanctuary,天使禁猟区,OVA,None,"Action, Drama, Romance, Supernatural","Shoujo, Demons, Reincarnation"
52,52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,MANGA,"Comedy, Drama, Sci-Fi, Sports","Robots, Shounen, Female Protagonist, Primarily Female Cast, Primarily Child Cast"
53,53,Ai Yori Aoshi,Ai Yori Aoshi,藍より青し,TV,MANGA,"Comedy, Drama, Romance, Slice of Life",Harem
54,54,Appleseed (Movie),None,アップルシード,MOVIE,None,"Action, Drama, Mecha, Sci-Fi","Military, Shounen"
55,55,Arc the Lad,None,アークザラッド,TV,VIDEO_GAME,"Action, Adventure, Fantasy, Horror, Sci-Fi","Male Protagonist, Magic"
56,56,Avenger,None,アヴェンジャー,TV,ORIGINAL,"Adventure, Fantasy, Sci-Fi",
57,57,Beck,Beck: Mongolian Chop Squad,ベック,TV,MANGA,"Comedy, Drama, Music, Slice of Life","Band, Coming of Age, Shounen"
58,58,Blue Gender,None,ブルージェンダー,TV,ORIGINAL,"Adventure, Drama, Horror, Mecha, Romance, Sci-Fi","Aliens, Dystopian"
59,59,Chobits,Chobits,ちょびっツ,TV,MANGA,"Comedy, Drama, Ecchi, Romance, Sci-Fi","Memory Manipulation, Artificial Intelligence, Seinen, Robots, Nudity, Multiple Personalities"
60,60,Chrno Crusade,Chrono Crusade,クロノクルセイド,TV,MANGA,"Action, Romance, Supernatural",Demons
61,61,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,MANGA,"Action, Comedy, Fantasy, Romance","Magic, School, Shoujo, Twins"
62,62,Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,VISUAL_NOVEL,"Drama, Romance","Harem, Magic"
63,63,DearS,None,ディアーズ,TV,MANGA,"Comedy, Ecchi, Romance, Sci-Fi",Harem
64,64,Rozen Maiden,None,ローゼンメイデン,TV,MANGA,"Action, Comedy, Drama","Magic, Hikikomori, Primarily Female Cast, Battle Royale, Male Protagonist, Tsundere, Super Power"
65,65,Rozen Maiden: Träumend,Rozen Maiden: Dreaming,ローゼンメイデン ~ トロイメント,TV,MANGA,"Action, Comedy, Drama","Magic, Primarily Female Cast, Battle Royale, Hikikomori, Tragedy, Male Protagonist, Super Power, Tsundere"
66,66,Azumanga Daioh,Azumanga Daioh: The Animation,あずまんが大王,TV,MANGA,"Comedy, Slice of Life","School, Primarily Female Cast, Surreal Comedy, Cute Girls Doing Cute Things, Ensemble Cast, 4-koma, Teacher"
67,67,Basilisk: Kouga Ninpou Chou,Basilisk: The Kouga Ninja Scrolls,バジリスク 甲賀忍法帖,TV,MANGA,"Action, Adventure, Fantasy, Romance","Swordplay, Ninja, Historical, Tragedy, Seinen"
68,68,Black Cat,Black Cat,ブラックキャット,TV,MANGA,"Adventure, Comedy, Sci-Fi","Shounen, Super Power, Primarily Adult Cast, Revenge, Assassins, Guns, Tragedy"
69,69,Cluster Edge,None,クラスターエッジ,TV,ORIGINAL,"Action, Fantasy, Sci-Fi","Military, Aviation"
71,71,Full Metal Panic!,Full Metal Panic!,フルメタル パニック！,TV,LIGHT_NOVEL,"Action, Comedy, Mecha, Sci-Fi","Military, Real Robot, School"
72,72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,LIGHT_NOVEL,"Action, Comedy",School
73,73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,None,"Action, Mecha, Sci-Fi","Military, Real Robot"
74,74,Gakuen Alice,None,学園アリス,TV,MANGA,Comedy,"School, Female Protagonist, Super Power, Magic, Shoujo, Primarily Child Cast"
75,75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,蒼穹のファフナー,TV,None,"Drama, Mecha, Sci-Fi","Post-Apocalyptic, Tragedy, Aliens, Robots, War, Male Protagonist, Real Robot"
76,76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,ORIGINAL,"Action, Comedy, Drama, Mahou Shoujo","Magic, Female Protagonist, Primarily Female Cast, Super Power, Henshin"
77,77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,None,"Action, Comedy, Drama, Mahou Shoujo","Magic, Yuri, Primarily Female Cast, Female Protagonist, Military, Super Power"
79,79,Shuffle!,None,SHUFFLE!（シャッフル！）,TV,VISUAL_NOVEL,"Comedy, Drama, Ecchi, Fantasy, Romance","Magic, Yandere, Harem, Primarily Female Cast"
80,80,Kidou Senshi Gundam,Mobile Suit Gundam,機動戦士ガンダム,TV,ORIGINAL,"Action, Mecha, Sci-Fi","Military, Space, Real Robot, Space Opera, War, Politics, Coming of Age, Tragedy, Male Protagonist, Shounen"
81,81,Kidou Senshi Gundam: Dai 08 MS Shotai,Mobile Suit Gundam: The 08th MS Team,機動戦士ガンダム 第08MS小隊,OVA,None,"Adventure, Drama, Mecha, Romance, Sci-Fi","Military, War, Real Robot, Shounen"
82,82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,OVA,None,"Adventure, Drama, Mecha, Sci-Fi","Military, War, Tragedy, Space, Real Robot, Male Protagonist, Shounen"
83,83,Kidou Senshi Gundam: Dai 08 MS Shotai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,MOVIE,None,"Drama, Mecha, Sci-Fi","Military, Shounen"
84,84,Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,機動戦士ガンダム 0083 スターダストメモリー,OVA,None,"Adventure, Drama, Mecha, Sci-Fi","Space, Military, Real Robot, Shounen"
85,85,Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Zガンダム,TV,None,"Drama, Mecha, Sci-Fi","Military, Space, Space Opera, War, Real Robot, Shounen, Tragedy"
86,86,Kidou Senshi Gundam ZZ,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,None,"Comedy, Drama, Mecha, Sci-Fi","Space, War, Real Robot, Military, Shounen"
87,87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,MOVIE,None,"Drama, Mecha, Sci-Fi","Military, Space, Real Robot, Space Opera, Shounen, Tragedy, Male Protagonist"
88,88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,MOVIE,ORIGINAL,"Drama, Mecha, Sci-Fi","Military, Space, Real Robot, Shounen"
89,89,Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,機動戦士Vガンダム,TV,None,"Drama, Mecha, Sci-Fi","Military, Real Robot, Space, Coming of Age, War, Space Opera, Shounen, Tragedy"
90,90,Shin Kidou Senki Gundam W,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,ORIGINAL,"Action, Adventure, Drama, Mecha, Sci-Fi","Real Robot, Military, Ensemble Cast, Shounen"
91,91,Shin Kidou Senki Gundam Wing Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,新機動戦記ガンダムW エンドレス・ワルツ,OVA,None,"Action, Drama, Mecha, Sci-Fi","Military, Shounen"
92,92,Kidou Shin Seiki Gundam X,After War Gundam X,機動新世紀ガンダムX,TV,ORIGINAL,"Adventure, Drama, Mecha, Sci-Fi","Real Robot, Ensemble Cast, Post-Apocalyptic, Shounen"
93,93,Kidou Senshi Gundam Seed,Mobile Suit Gundam Seed,機動戦士ガンダムSEED,TV,ORIGINAL,"Action, Mecha, Sci-Fi","Military, Real Robot"
94,94,Kidou Senshi Gundam Seed Destiny,Mobile Suit Gundam Seed Destiny,機動戦士ガンダムSEED DESTINY,TV,ORIGINAL,"Drama, Mecha, Romance, Sci-Fi","Shounen, Space"
95,95,∀ Gundam,Turn A Gundam,∀ガンダム,TV,ORIGINAL,"Action, Adventure, Drama, Mecha, Sci-Fi","Real Robot, Space, Ensemble Cast, Coming of Age, War, Politics"
96,96,Kidou Butouden G Gundam,Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,ORIGINAL,"Adventure, Comedy, Drama, Mecha, Romance, Action","Super Robot, Martial Arts, Wuxia"
97,97,Last Exile,None,ラストエグザイル,TV,ORIGINAL,"Action, Adventure, Sci-Fi","War, Post-Apocalyptic, Steampunk, Aviation, Primarily Child Cast"
98,98,Mai-HiME,My-Hime,舞-HiME,TV,ORIGINAL,"Action, Comedy, Drama, Fantasy, Mecha, Romance","Magic, Battle Royale, Ensemble Cast, Female Protagonist, School, Super Power, Urban Fantasy, Robots, Crossdressing, Motorcycles, Yuri, Dragons"
99,99,Mai-Otome,My ZHiME,舞-乙HiME,TV,ORIGINAL,"Comedy, Drama, Fantasy",Magic
100,100,Shin Shirayuki-hime Densetsu Pretear,Prétear: The New Legend of Snow White,新白雪姫伝説プリーティア,TV,MANGA,"Comedy, Drama, Fantasy, Mahou Shoujo, Romance","Magic, Shoujo, Henshin, Female Protagonist, Love Triangle, Fairy Tale"
101,101,Air,Air,AIR,TV,VISUAL_NOVEL,"Drama, Romance, Slice of Life, Supernatural","Tragedy, Reincarnation, Primarily Female Cast"
102,102,Aishiteruze Baby,Love You Baby,愛してるぜ ベイベ★★,TV,MANGA,"Comedy, Drama, Romance","Shoujo, Family Life, Bullying"
103,103,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,TV,MANGA,"Adventure, Comedy, Fantasy, Romance, Mahou Shoujo","Magic, Shoujo, Female Protagonist"
104,104,Ayashi no Ceres,Ceres, Celestial Legend,妖しのセレス,TV,MANGA,"Adventure, Comedy, Drama, Horror, Romance"
105,105,Boys Be...,None,ボーイズ・ビー,TV,MANGA,"Comedy, Romance, Slice of Life","Shounen, Ensemble Cast, Episodic, School, Coming of Age"
106,106,Hana Yori Dango,Boys Over Flowers,花より男子,TV,MANGA,"Drama, Romance","School, Shoujo"
107,107,Ou Dorobou Jing,Jing: King of Bandits,王ドロボウ JING,TV,MANGA,"Adventure, Comedy, Fantasy, Sci-Fi","Shounen, Episodic, Male Protagonist"
108,108,Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,王ドロボウ JING in Seventh Heaven,OVA,None,"Adventure, Comedy, Fantasy, Psychological",Shounen
109,109,Bakuretsu Tenshi,Burst Angel,爆裂天使,TV,ORIGINAL,"Adventure, Comedy, Mecha, Sci-Fi","Female Protagonist, Shounen, Primarily Female Cast, Guns"
110,110,Chuuka Ichiban!,None,中華一番,TV,MANGA,"Action, Comedy, Drama","Food, Shounen"
111,111,Corrector Yui,None,コレクターユイ,TV,ORIGINAL,"Adventure, Comedy, Sci-Fi, Mahou Shoujo","Magic, Shoujo, Female Protagonist, Virtual World"
112,112,Cosprayers,The Cosmopolitan Prayers,超変身コス∞プレイヤー,TV_SHORT,None,"Action, Adventure, Comedy, Ecchi, Fantasy",Magic
113,113,Uchuu no Stellvia,Stellvia of the Universe,宇宙のステルヴィア,TV,ORIGINAL,"Action, Romance, Sci-Fi, Mecha",Space
114,114,Sakigake!! Cromartie Koukou,Cromartie High School,魁!! クロマティ高校,TV_SHORT,None,Comedy,"Delinquents, School, Primarily Male Cast, Episodic, Parody, Surreal Comedy, Meta, Robots, Shounen"
115,115,Ijigen no Sekai El Hazard,None,異次元の世界エルハザード,TV,ORIGINAL,"Adventure, Comedy, Fantasy",Isekai
116,116,Shinpi no Sekai El Hazard,El Hazard: The Wanderers,神秘の世界エルハザード,TV,ORIGINAL,"Adventure, Comedy","Isekai, Shounen, Super Power"
117,117,Shinpi no Sekai El Hazard,El Hazard: The Magnificent World,神秘の世界エルハザード,OVA,None,"Adventure, Comedy, Fantasy, Romance","Isekai, Super Power, Shounen, Crossdressing"
118,118,Shinpi no Sekai El Hazard 2,None,神秘の世界 エルハザード 第2期,OVA,None,"Adventure, Comedy, Fantasy",Isekai
119,119,Final Approach,None,φなる・あぷろーち,TV_SHORT,None,"Comedy, Drama, Romance, Slice of Life","Male Protagonist, Harem"
120,120,Fruits Basket,Fruits Basket,フルーツバスケット,TV,MANGA,"Comedy, Drama, Fantasy, Romance, Slice of Life","Shoujo, Family Life, Mythology, Female Protagonist, Love Triangle, Reincarnation, School, Reverse Harem"
121,121,Hagane no Renkinjutsushi,Fullmetal Alchemist,鋼の錬金術師,TV,MANGA,"Action, Adventure, Comedy, Drama, Fantasy","Magic, Military, Male Protagonist, Coming of Age, Shounen, Steampunk, War, Alternate Universe, Foreign"
122,122,Full Moon wo Sagashite,Searching for the Full Moon,満月をさがして,TV,MANGA,"Comedy, Drama, Music, Romance, Supernatural, Mahou Shoujo","Age Gap, Shoujo, Love Triangle, Henshin"
123,123,Fushigi Yuugi,Mysterious Play,ふしぎ遊戯,TV,MANGA,"Adventure, Comedy, Drama, Fantasy","Reverse Harem, Female Protagonist, Shoujo, Magic, Historical, Love Triangle, Isekai, Crossdressing"
124,124,Fushigi Yuugi: Eikoden,Mysterious Play: Eikoden,ふしぎ遊戯 -永光伝,OVA,None,Fantasy,Shoujo
125,125,Futakoi,Twin Love,双恋,TV,ORIGINAL,"Comedy, Romance","School, Harem"
126,126,Futakoi Alternative,Twin Love Alternative,フタコイ オルタナティブ,TV,ORIGINAL,"Comedy, Drama, Romance","Shounen, Yakuza, Aliens, Coming of Age, Love Triangle"
127,127,Gate Keepers,None,ゲートキーパーズ,TV,VIDEO_GAME,"Action, Comedy, Fantasy, Mecha, Sci-Fi","Shounen, Super Robot, Slapstick, Love Triangle, Super Power, Aliens, Cars"
128,128,Gate Keepers 21,None,ゲートキーパーズ21,OVA,None,"Action, Drama, Mecha, Sci-Fi",Shounen
129,129,Saiyuki,Saiyuki,幻想魔伝 最遊記,TV,MANGA,"Adventure, Comedy, Drama, Supernatural","Demons, Shounen, Primarily Male Cast"
130,130,Saiyuki Reload,None,最遊記RELOAD,TV,MANGA,"Action, Adventure, Comedy, Drama, Fantasy","Shoujo, Demons"
131,131,Saiyuki Reload Gunlock,Saiyuki Gunlock,最遊記RELOAD GUNLOCK,TV,MANGA,"Action, Adventure, Comedy, Fantasy","Shoujo, Demons"
132,132,GetBackers,Getbackers,ゲットバッカーズ　奪還屋,TV,MANGA,"Action, Comedy, Drama, Mystery","Shounen, Super Power"
133,133,Green Green,None,グリーングリーン,TV,VISUAL_NOVEL,"Comedy, Ecchi, Romance, Slice of Life","School, Harem"
134,134,Gunslinger Girl,Gunslinger Girl,ガンスリンガー・ガール,TV,MANGA,"Action, Drama, Psychological, Sci-Fi","Guns, Primarily Female Cast, Ensemble Cast, Assassins, Foreign, Female Protagonist, Seinen, Mafia"
135,135,Hikaru no Go,Hikaru's Go,ヒカルの碁,TV,MANGA,"Comedy, Supernatural, Sports","Shounen, Go, Coming of Age, Male Protagonist, Ghost"
136,136,Hunter x Hunter,None,ハンターxハンター,TV,MANGA,"Action, Adventure","Shounen, Super Power, Cultivation, Revenge, Assassins, Male Protagonist, Primarily Male Cast"
137,137,Hunter x Hunter: Yorkshin City Kanketsu-hen,Hunter x Hunter: Yorknew City,ハンターｘハンター ヨークシンシティー完結編,OVA,MANGA,"Action, Adventure","Revenge, Noir, Shounen, Super Power, Assassins, Urban Fantasy"
138,138,Hunter x Hunter: Greed Island,None,ハンターｘハンター: Greed Island,OVA,None,"Action, Adventure","Augmented Reality, Shounen, Super Power, Primarily Child Cast, Card Battle"
139,139,Hunter x Hunter: Greed Island Final,None,ハンター×ハンター　G・I　Final,OVA,None,"Action, Adventure","Shounen, Super Power"
141,141,Jinki:Extend,Jinki:Extend,ジンキ・エクステンド,TV,MANGA,"Mecha, Sci-Fi","Super Robot, Achronological Order, Female Protagonist"
142,142,Kamikaze Kaitou Jeanne,None,神風怪盗ジャンヌ,TV,MANGA,"Adventure, Comedy, Drama, Fantasy, Mystery","Demons, Shoujo"
143,143,Kannazuki no Miko,Destiny of the Shrine Maiden,神無月の巫女,TV,MANGA,"Drama, Mecha, Romance","Yuri, Super Robot, Female Protagonist, Magic, Shounen, Alternate Universe, Primarily Female Cast"
144,144,Kanon,None,カノン,TV,VISUAL_NOVEL,"Drama, Romance, Slice of Life, Supernatural","Primarily Female Cast, Harem"
145,145,Kareshi Kanojo no Jijou,His and Her Circumstances,彼氏彼女の事情,TV,MANGA,"Comedy, Drama, Romance, Slice of Life","Shoujo, School, Coming of Age, Female Protagonist, Bullying, Tragedy"
146,146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,この醜くも美しい世界,TV,ORIGINAL,"Comedy, Drama, Romance, Sci-Fi","Magic, Shounen"
147,147,Kimi ga Nozomu Eien,Rumbling Hearts,君が望む永遠,TV,VISUAL_NOVEL,"Drama, Romance, Slice of Life","Tragedy, School"
148,148,Kita e.: Diamond Dust Drops,Diamond Daydreams,北へ。 ～Diamond Dust Drops～,TV,VISUAL_NOVEL,"Drama, Romance, Slice of Life",Primarily Female Cast
149,149,Loveless,Loveless,LOVELESS,TV,MANGA,"Action, Drama, Fantasy, Mystery, Romance","Boys' Love, Shoujo, Yuri, Age Gap, Magic, Primarily Male Cast"
150,150,Blood+,None,ブラッドプラス,TV,ORIGINAL,"Action, Drama, Horror, Mystery, Supernatural","Vampire, Female Protagonist, Swordplay, Amnesia, Reverse Harem, Tragedy, Time Skip, Super Power, Gore"
151,151,Re: Cutie Honey,None,Re:キューティーハニー,OVA,MANGA,"Action, Comedy, Ecchi, Sci-Fi","Henshin, Female Protagonist, Nudity, Yuri, Robots"
152,152,Solty Rei,None,ソルティレイ,TV,ORIGINAL,"Action, Sci-Fi",Super Power
153,153,Juuni Kokuki,The Twelve Kingdoms,十二国記,TV,LIGHT_NOVEL,"Action, Adventure, Fantasy, Supernatural","Isekai, Magic, Female Protagonist, Politics, Swordplay, Youkai"
154,154,Shaman King,Shaman King,シャーマンキング,TV,MANGA,"Action, Adventure, Comedy, Drama, Supernatural","Shounen, Super Power"
155,155,X/1999,None,エックス,MOVIE,None,"Action, Drama, Fantasy, Horror, Sci-Fi","Magic, Shoujo, Male Protagonist, Super Power"
156,156,X,None,X−エックス−,TV,MANGA,"Action, Drama, Fantasy, Romance","Magic, Super Power, Shoujo"
157,157,Mahou Sensei Negima!,Negima!,魔法先生 ネギま！,TV,MANGA,"Comedy, Ecchi, Fantasy, Romance","Magic, School, Urban Fantasy, Primarily Female Cast, Harem"
158,158,Maria-sama ga Miteru,Maria Watches Over Us,マリア様がみてる,TV,LIGHT_NOVEL,"Drama, Romance, Slice of Life","Yuri, School, Shoujo, Iyashikei"
159,159,Boukyaku no Senritsu,Melody of Oblivion,忘却の旋律,TV,MANGA,"Adventure, Fantasy, Horror, Mecha, Sci-Fi",Shounen
160,160,Ima, Soko ni Iru Boku,Now and Then, Here and There,今、そこにいる僕,TV,ORIGINAL
161,161,Peace Maker Kurogane,Peace Maker Kurogane,PEACE MAKER 鐵,TV,MANGA,"Action, Comedy","Historical, Male Protagonist, Samurai, Swordplay, Shounen, Primarily Male Cast, Ninja"
162,162,Pita Ten,Clinging Angel,ぴたテン,TV,MANGA,"Comedy, Fantasy, Romance","Kids, School, Shounen"
163,163,Power Stone,None,パワーストーン,TV,VIDEO_GAME,"Adventure, Comedy, Fantasy","Shounen, Historical"
164,164,Mononoke-hime,Princess Mononoke,もののけ姫,MOVIE,ORIGINAL,"Action, Adventure, Fantasy, Drama","Mythology, Environmental, War, Youkai, Rural, Revenge, Gore, Male Protagonist"
165,165,RahXephon,RahXephon,ラーゼフォン,TV,ORIGINAL,"Sci-Fi, Drama, Mecha, Music, Mystery, Romance","Coming of Age, Mythology, Amnesia, Philosophy, Time Manipulation, Aliens, Military, Age Gap, Super Robot, Post-Apocalyptic"
166,166,Samurai 7,Samurai 7,サムライセブン,TV,OTHER,"Mecha, Sci-Fi","Swordplay, Historical, Samurai, Steampunk, Primarily Adult Cast"
167,167,Scrapped Princess,None,スクラップド・プリンセス,TV,LIGHT_NOVEL,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi","Gods, Magic, Swordplay, Super Power, Dragons, Dystopian"
168,168,Scryed,s-CRY-ed,スクライド,TV,ORIGINAL,"Action, Adventure, Sci-Fi","Shounen, Super Power"
169,169,Shingetsutan Tsukihime,Lunar Legend Tsukihime,真月譚 月姫,TV,VISUAL_NOVEL,"Action, Horror, Mystery, Romance","Super Power, Vampire, Male Protagonist"
170,170,Slam Dunk,None,スラムダンク,TV,MANGA,"Comedy, Drama, Slice of Life, Sports","Basketball, Shounen, Primarily Male Cast, Male Protagonist, School, Ensemble Cast, Delinquents"
171,171,Strange Dawn,None,ストレンジ・ドーン,TV,ORIGINAL,"Adventure, Drama, Fantasy","Isekai, Female Protagonist, Chibi"
